TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2016-05-02 02:21:02.537,-8.800000e-01,-2.000000e-01,-2.200000e-01,-2.000000e-02,-1.280000e+00,-1.710000e+00
2016-05-02 02:21:02.680,-8.500000e-01,-2.100000e-01,-2.500000e-01,2.420000e+00,-1.520000e+00,-7.300000e-01
2016-05-02 02:21:02.778,-8.600000e-01,-1.800000e-01,-2.700000e-01,2.800000e+00,2.000000e-02,-1.910000e+00
2016-05-02 02:21:02.922,-8.600000e-01,-2.700000e-01,-2.700000e-01,1.120000e+00,-2.750000e+00,-1.860000e+00
2016-05-02 02:21:03.021,-8.700000e-01,-2.000000e-01,-2.800000e-01,2.810000e+00,-1.820000e+00,1.300000e-01
2016-05-02 02:21:03.119,-8.500000e-01,-2.600000e-01,-2.600000e-01,2.390000e+00,-1.290000e+00,-4.820000e+00
2016-05-02 02:21:03.265,-9.200000e-01,-2.300000e-01,-2.300000e-01,6.300000e-01,-1.270000e+00,-1.950000e+00
2016-05-02 02:21:03.361,-8.600000e-01,-2.300000e-01,-1.700000e-01,2.950000e+00,-1.230000e+00,-2.770000e+00
2016-05-02 02:21:03.511,-8.100000e-01,-2.700000e-01,-2.600000e-01,4.590000e+00,-3.250000e+00,-1.250000e+00
2016-05-02 02:21:03.606,-8.100000e-01,-2.200000e-01,-2.200000e-01,1.660000e+00,2.000000e-01,-1.220000e+00
2016-05-02 02:21:03.754,-8.500000e-01,-2.300000e-01,-2.600000e-01,4.020000e+00,-4.800000e-01,-1.770000e+00
2016-05-02 02:21:03.850,-8.500000e-01,-2.600000e-01,-2.500000e-01,6.900000e-01,-3.500000e-01,-1.380000e+00
2016-05-02 02:21:04.000,-9.100000e-01,-1.800000e-01,-2.300000e-01,2.910000e+00,2.700000e-01,-1.021000e+01
2016-05-02 02:21:04.146,-8.500000e-01,7.000000e-02,-1.700000e-01,-2.610000e+00,-1.621000e+01,4.683000e+01
2016-05-02 02:21:04.244,-1.330000e+00,7.500000e-01,-1.300000e-01,5.060000e+00,-4.263000e+01,2.169600e+02
2016-05-02 02:21:04.338,-9.100000e-01,1.080000e+00,-1.500000e-01,-5.473000e+01,-3.970000e+01,2.539900e+02
2016-05-02 02:21:04.484,-7.600000e-01,1,-2.700000e-01,-2.022000e+01,7.720000e+01,2.539900e+02
2016-05-02 02:21:04.584,-4.000000e-01,8.200000e-01,-1.700000e-01,-4.044000e+01,1.516000e+01,1.076600e+02
2016-05-02 02:21:04.683,0,6.900000e-01,-1.000000e-02,-3.675000e+01,1.259000e+01,6.767000e+01
2016-05-02 02:21:04.825,1.700000e-01,2.400000e-01,4.000000e-02,-3.691000e+01,1.606000e+01,-2.311000e+01
2016-05-02 02:21:04.928,-2.500000e-01,3.500000e-01,-9.000000e-02,-3.020000e+00,1.921000e+01,-1.933200e+02
2016-05-02 02:21:05.068,-4.200000e-01,5.400000e-01,-2.200000e-01,3.990000e+01,5.604000e+01,-256
2016-05-02 02:21:05.168,-1.390000e+00,2.400000e-01,-1.500000e-01,8.392000e+01,9.032000e+01,-2.423200e+02
2016-05-02 02:21:05.313,-1.420000e+00,1.100000e-01,-2.000000e-01,9.158000e+01,7.498000e+01,-1.674800e+02
2016-05-02 02:21:05.412,-1.110000e+00,-1.000000e-02,-3.200000e-01,5.782000e+01,4.275000e+01,-6.521000e+01
2016-05-02 02:21:05.562,-1.010000e+00,-6.000000e-02,-2.900000e-01,2.818000e+01,1.002000e+01,3.702000e+01
2016-05-02 02:21:05.654,-9.100000e-01,-2.100000e-01,-2.900000e-01,-4.560000e+00,-8.980000e+00,7.197000e+01
2016-05-02 02:21:05.801,-1.080000e+00,-2.900000e-01,-2.400000e-01,-4.230000e+00,-1.114000e+01,5.577000e+01
2016-05-02 02:21:05.898,-1.020000e+00,-2.900000e-01,-3.300000e-01,2.090000e+00,-7,1.334000e+01
2016-05-02 02:21:06.051,-8.500000e-01,-2.600000e-01,-2.900000e-01,4.680000e+00,-4.710000e+00,-1.850000e+01
2016-05-02 02:21:06.145,-9.200000e-01,-1.200000e-01,-2.400000e-01,4.400000e+00,-3.050000e+00,-1.884000e+01
2016-05-02 02:21:06.242,-8.800000e-01,-1.300000e-01,-3.300000e-01,-5.000000e-02,6.700000e-01,-3.800000e+00
2016-05-02 02:21:06.388,-9.100000e-01,-1.200000e-01,-3.300000e-01,1.810000e+00,4.840000e+00,1.240000e+00
2016-05-02 02:21:06.486,-9.400000e-01,-2.700000e-01,-2.400000e-01,1.380000e+00,-3.110000e+00,2.300000e+00
2016-05-02 02:21:06.633,-8.100000e-01,-1.800000e-01,-2.900000e-01,4.520000e+00,-3.450000e+00,9.000000e-01
2016-05-02 02:21:06.726,-8.600000e-01,-1.400000e-01,-3.300000e-01,2.120000e+00,5.400000e-01,1.700000e-01
2016-05-02 02:21:06.874,-9.300000e-01,-2.500000e-01,-2.500000e-01,3.700000e-01,-1.670000e+00,3.800000e-01
2016-05-02 02:21:06.971,-8.800000e-01,-2.600000e-01,-3.200000e-01,1.900000e+00,8.800000e-01,-4.300000e-01
2016-05-02 02:21:07.126,-8.600000e-01,-2.000000e-01,-2.200000e-01,3.530000e+00,-2.560000e+00,-3.730000e+00
2016-05-02 02:21:07.213,-9.500000e-01,-1.800000e-01,-2.300000e-01,2.230000e+00,-1.780000e+00,-2.110000e+00
2016-05-02 02:21:07.359,-8.500000e-01,-2.200000e-01,-3.100000e-01,-2.490000e+00,-1.590000e+00,3.800000e-01
2016-05-02 02:21:07.459,-8.500000e-01,-1.700000e-01,-3.200000e-01,1.090000e+00,2,2.100000e+00
2016-05-02 02:21:07.605,-9.400000e-01,-2.700000e-01,-2.900000e-01,6.080000e+00,-1.910000e+00,-6.410000e+00
2016-05-02 02:21:07.702,-8.900000e-01,-1.700000e-01,-3.200000e-01,6,-6.700000e-01,-3.050000e+00
2016-05-02 02:21:07.798,-8.800000e-01,-1.600000e-01,-3.200000e-01,3.230000e+00,-8.100000e-01,-2.080000e+00
2016-05-02 02:21:07.951,-8.000000e-01,-2.100000e-01,-2.300000e-01,4.810000e+00,-4.730000e+00,-2.020000e+00
2016-05-02 02:21:08.046,-9.000000e-01,-1.900000e-01,-2.500000e-01,2.940000e+00,-1.640000e+00,-2.140000e+00
2016-05-02 02:21:08.193,-8.300000e-01,-2.700000e-01,-2.400000e-01,4.230000e+00,2.100000e+00,-1.310000e+00
2016-05-02 02:21:08.288,-8.600000e-01,-1.800000e-01,-2.400000e-01,1.380000e+00,4.900000e-01,5.800000e-01
2016-05-02 02:21:08.434,-8.800000e-01,-2.100000e-01,-2.400000e-01,4.660000e+00,7.900000e-01,-6.100000e-01
2016-05-02 02:21:08.531,-8.500000e-01,-2.600000e-01,-2.300000e-01,1.910000e+00,6.200000e-01,-1.630000e+00
2016-05-02 02:21:08.678,-9.600000e-01,-1.100000e-01,-3.300000e-01,3.620000e+00,-2.300000e-01,-9.000000e-02
2016-05-02 02:21:08.777,-8.000000e-01,-1.600000e-01,-3.300000e-01,4.910000e+00,7.000000e-02,-2.370000e+00
2016-05-02 02:21:08.923,-8.700000e-01,-1.700000e-01,-2.500000e-01,1.050000e+00,2.000000e-02,-1.210000e+00
2016-05-02 02:21:09.018,-9.000000e-01,-1.900000e-01,-2.600000e-01,1.390000e+00,-2.130000e+00,2.950000e+00
2016-05-02 02:21:09.165,-8.800000e-01,-1.700000e-01,-2.300000e-01,1.860000e+00,7.500000e-01,5.400000e-01
2016-05-02 02:21:09.263,-8.500000e-01,-2.000000e-01,-3.400000e-01,-3.100000e-01,-2.970000e+00,-4.330000e+00
2016-05-02 02:21:09.359,-8.900000e-01,-2.200000e-01,-2.500000e-01,3.050000e+00,-2.050000e+00,-4.100000e+00
2016-05-02 02:21:09.507,-8.000000e-01,-2.000000e-01,-2.200000e-01,4.450000e+00,-1.510000e+00,-3.030000e+00
2016-05-02 02:21:09.603,-9.600000e-01,-2.200000e-01,-3.200000e-01,-2.250000e+00,-2.340000e+00,-9.600000e-01
2016-05-02 02:21:09.748,-8.900000e-01,-1.900000e-01,-3.300000e-01,1.120000e+00,-4.200000e+00,-1.880000e+00
2016-05-02 02:21:09.847,-9.000000e-01,-1.800000e-01,-2.700000e-01,1.030000e+00,8.700000e-01,-2.430000e+00
2016-05-02 02:21:09.991,-8.700000e-01,-2.000000e-01,-2.800000e-01,-8.000000e-01,-1.610000e+00,-1.370000e+00
2016-05-02 02:21:10.090,-9.000000e-01,-1.600000e-01,-2.400000e-01,2.720000e+00,-1.200000e+00,-1.000000e-02
2016-05-02 02:21:10.237,-9.000000e-01,-1.000000e-01,-3.400000e-01,2.790000e+00,-2.850000e+00,-2.030000e+00
2016-05-02 02:21:10.334,-8.500000e-01,-1.700000e-01,-2.400000e-01,1.230000e+00,-4.480000e+00,-1.490000e+00
2016-05-02 02:21:10.479,-8.900000e-01,-1.900000e-01,-2.200000e-01,3.580000e+00,-2.840000e+00,-2.950000e+00
2016-05-02 02:21:10.578,-8.600000e-01,-1.700000e-01,-2.400000e-01,1.800000e+00,-1.470000e+00,-2.700000e-01
2016-05-02 02:21:10.723,-9.500000e-01,-2.100000e-01,-2.300000e-01,1.130000e+00,-2.020000e+00,2.290000e+00
2016-05-02 02:21:10.822,-9.400000e-01,-1.600000e-01,-3.100000e-01,-4.000000e-01,1.000000e-01,-8.400000e-01
2016-05-02 02:21:10.920,-9.300000e-01,-1.200000e-01,-3.200000e-01,4.760000e+00,-2.620000e+00,-2.580000e+00
2016-05-02 02:21:11.066,-9.600000e-01,-2.000000e-01,-3.200000e-01,1.460000e+00,-7.800000e-01,-1.230000e+00
2016-05-02 02:21:11.162,-8.700000e-01,-1.700000e-01,-2.400000e-01,1.790000e+00,-2.600000e-01,-2.780000e+00
2016-05-02 02:21:11.310,-8.500000e-01,-2.000000e-01,-2.200000e-01,2.980000e+00,-2.440000e+00,-4.070000e+00
2016-05-02 02:21:11.408,-8.600000e-01,-2.000000e-01,-2.400000e-01,2.050000e+00,-2.550000e+00,-1.690000e+00
2016-05-02 02:21:11.553,-8.800000e-01,-1.900000e-01,-3.200000e-01,-1.500000e-01,-2.730000e+00,-2.840000e+00
2016-05-02 02:21:11.651,-8.500000e-01,-2.100000e-01,-2.300000e-01,1.520000e+00,-2.050000e+00,1.000000e-02
2016-05-02 02:21:11.795,-9.000000e-01,-2.100000e-01,-2.500000e-01,-7.300000e-01,-2.580000e+00,-4.470000e+00
2016-05-02 02:21:11.893,-9.100000e-01,-2.000000e-01,-1.800000e-01,-1.900000e-01,-3.920000e+00,-2.270000e+00
2016-05-02 02:21:12.042,-9.500000e-01,-1.100000e-01,-2.400000e-01,2.610000e+00,1.760000e+00,7.200000e-01
2016-05-02 02:21:12.137,-8.700000e-01,-2.000000e-01,-3.300000e-01,4.380000e+00,-1.090000e+00,-6.000000e-01
2016-05-02 02:21:12.282,-8.800000e-01,-1.700000e-01,-3.300000e-01,2.790000e+00,-1.980000e+00,-2.030000e+00
2016-05-02 02:21:12.380,-7.900000e-01,-1.900000e-01,-2.700000e-01,-6.100000e-01,-1.480000e+00,-1.280000e+00
2016-05-02 02:21:12.480,-8.500000e-01,-2.000000e-01,-3.300000e-01,9.200000e-01,-2.520000e+00,-1.690000e+00
2016-05-02 02:21:12.623,-9.500000e-01,-2.000000e-01,-3.400000e-01,2.310000e+00,-1.010000e+00,-4.230000e+00
2016-05-02 02:21:12.721,-9.700000e-01,-1.800000e-01,-2.400000e-01,3.180000e+00,9.800000e-01,-1.700000e+00
2016-05-02 02:21:12.872,-8.800000e-01,-2.100000e-01,-3.400000e-01,3.120000e+00,3.280000e+00,-1.770000e+00
2016-05-02 02:21:12.969,-9.800000e-01,1.100000e-01,-2.800000e-01,1.577000e+01,1.430000e+01,-3.830000e+01
2016-05-02 02:21:13.116,-1.500000e+00,5.400000e-01,-2.900000e-01,-6.053000e+01,-2.280000e+00,8.045000e+01
